r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,Principale1,Principale2,Principale3,Principale4,Principale5,Principale6,Principale7,Principale8
5,0,249264,64384,7980,428808,0,0,0,0,7201,822,1,89,10,0,"2,1982028548","-0,541395587","-0,810942352","0,7322804701","-0,44232802","-0,811058593","0,0568349782","-0,631445156"
2,0,249264,64384,7980,428812,0,0,0,0,7617,785,5,84,11,0,"1,9699271485","-0,869344873","-0,707493958","0,0236355982","0,1025080575","0,5784104131","0,4422618559","0,2418122123"
0,0,249264,64384,7980,428816,0,0,0,0,7076,764,4,83,14,0,"1,4772194448","-1,011233899","-0,65450735","-0,076645646","0,257536711","0,2012139678","0,2365949371","0,8243297532"
5,0,249264,64384,7988,428816,0,0,0,16,7361,840,2,85,11,1,"2,2659715241","-0,510302092","-0,598596657","0,6788226673","-0,324587248","-0,428497282","0,1664528558","-0,639284846"
2,0,249264,64384,7988,428820,0,0,0,0,7795,832,4,87,10,0,"2,1002725108","-0,882211942","-0,766416449","0,1538559128","0,1074472583","0,2329674822","0,313571748","0,2503591457"
2,0,249264,64384,7988,428824,0,0,0,0,7821,763,3,84,14,0,"1,7789475856","-0,865129296","-0,743419542","0,2274210829","-0,003990319","-0,1629403","0,1495183679","0,2660948793"
1,0,249264,64384,7988,428828,0,0,0,0,7705,737,4,83,13,0,"1,6420730833","-0,958158661","-0,708484271","0,0280932867","0,1522487401","0,1775179871","0,2329787713","0,5590399751"
7,0,249264,64384,7988,428828,0,0,0,0,7687,835,4,84,12,0,"2,6331146707","-0,3986038","-0,743573737","0,5649377993","-0,570700813","0,2980450702","0,5611694582","-1,251142728"
2,0,249264,64384,7996,428832,0,0,0,16,7697,786,2,86,11,0,"1,8295824085","-0,841906577","-0,781844563","0,3365733361","-0,017613887","-0,517134997","0,0190989537","0,2758700752"
5,0,249264,64384,7996,428832,0,0,0,0,7855,824,1,86,13,0,"2,2118502466","-0,578485152","-0,815119113","0,7193951223","-0,438456676","-0,822509951","0,0380562986","-0,620703247"
2,0,249264,64384,7996,428836,0,0,0,0,7482,766,3,84,14,0,"1,7377112512","-0,8464041","-0,714559929","0,2158238747","-0,022506737","-0,151860218","0,168443381","0,2533500967"
1,0,249264,64384,7996,428840,0,0,0,92,7155,808,4,84,13,0,"1,7741987592","-0,830825605","-0,668319548","-0,073390394","0,1764095813","0,2006285931","0,291715275","0,5375831264"
0,0,249264,64384,7996,428844,0,0,0,0,7994,758,5,82,13,0,"1,6595601321","-1,078978813","-0,69588969","-0,164097746","0,3461411313","0,5338411834","0,3253866117","0,8505773093"
